Datetime,Cancel_Type,Vehicle Type,Ride Distance,Booking Value,is_cancelled,Hour,Is_Weekend,Pickup Location
2024-09-19 08:47:23,No Driver Found,Go Mini,,,1,8,0,Vishwavidyalaya
2024-12-26 16:16:56,Completed,Premier Sedan,42.5,234.0,0,16,0,Malviya Nagar
2024-06-28 10:22:29,Driver Cancelled,eBike,,,1,10,0,Mayur Vihar
2024-11-30 18:36:50,Completed,Go Sedan,41.42,758.0,0,18,1,Vaishali
2024-11-04 13:46:26,Incomplete,Auto,17.52,629.0,1,13,0,Kashmere Gate ISBT
2024-04-16 19:41:40,Completed,Auto,31.69,273.0,0,19,0,Maidan Garhi
2024-09-12 05:52:14,Completed,Auto,33.74,117.0,0,5,0,Yamuna Bank
2024-06-07 18:08:10,Completed,Go Sedan,36.82,955.0,0,18,0,Khan Market
2024-06-01 15:55:36,Completed,Go Sedan,38.75,139.0,0,15,1,Pragati Maidan
2024-05-05 14:17:24,Completed,Go Mini,17.07,255.0,0,14,1,Mansarovar Park
2024-01-15 17:05:26,Completed,Auto,19.18,1212.0,0,17,0,Rithala
2024-07-08 17:50:10,Completed,Go Sedan,23.93,81.0,0,17,0,Shastri Park
2024-08-14 17:41:00,Completed,Auto,29.09,940.0,0,17,0,Cyber Hub
2024-07-31 17:07:36,Driver Cancelled,Auto,,,1,17,0,Jhilmil
2024-05-08 16:37:21,Completed,eBike,27.55,98.0,0,16,0,Saidulajab
2024-07-29 12:28:32,Completed,Premier Sedan,14.0,724.0,0,12,0,Tughlakabad
2024-08-09 16:41:35,Completed,eBike,47.3,749.0,0,16,0,Kashmere Gate
2024-08-15 22:15:54,No Driver Found,eBike,,,1,22,0,Madipur
2024-10-02 09:10:13,Completed,Auto,14.59,244.0,0,9,0,Shastri Park
2024-05-12 01:09:07,No Driver Found,Auto,,,1,1,1,Nawada
2024-02-20 18:51:34,Incomplete,Auto,8.68,351.0,1,18,0,Shahdara
2024-05-26 20:45:58,Completed,Auto,34.14,585.0,0,20,1,Tilak Nagar
2024-12-24 10:30:20,Completed,Auto,31.79,554.0,0,10,0,DLF Phase 3
2024-06-07 17:11:59,Completed,Bike,25.01,803.0,0,17,0,Laxmi Nagar
2024-04-28 19:59:01,Completed,Go Mini,17.56,388.0,0,19,1,Huda City Centre
2024-01-26 18:13:59,Customer Cancelled,Bike,,,1,18,0,Shastri Nagar
2024-01-18 23:04:30,Completed,Go Mini,48.96,192.0,0,23,0,Uttam Nagar
2024-04-15 19:03:28,Completed,Go Mini,32.91,79.0,0,19,0,Mehrauli
2024-12-19 20:42:59,No Driver Found,Go Mini,,,1,20,0,Mansarovar Park
2024-01-22 18:23:40,Completed,Bike,45.7,242.0,0,18,0,Lajpat Nagar
2024-08-08 21:13:51,Customer Cancelled,Go Sedan,,,1,21,0,Patel Chowk
2024-05-21 20:31:57,Completed,Go Mini,38.32,323.0,0,20,0,Botanical Garden
2024-08-17 12:35:03,Driver Cancelled,Auto,,,1,12,1,Bahadurgarh
2024-06-02 21:27:23,Completed,Auto,9.1,799.0,0,21,1,Karol Bagh
2024-03-11 22:20:11,Customer Cancelled,eBike,,,1,22,0,Azadpur
2024-11-20 16:42:58,Completed,Premier Sedan,49.26,134.0,0,16,0,Ramesh Nagar
2024-10-23 10:50:53,Driver Cancelled,Go Mini,,,1,10,0,Malviya Nagar
2024-08-10 18:36:43,Customer Cancelled,Bike,,,1,18,1,Dwarka Sector 21
2024-05-06 19:24:18,Customer Cancelled,Bike,,,1,19,0,Noida Film City
2024-11-13 06:51:43,Completed,Go Sedan,8.21,113.0,0,6,0,Nirman Vihar
2024-09-16 16:07:51,Incomplete,Go Mini,16.09,84.0,1,16,0,Pragati Maidan
2024-05-16 12:35:33,Completed,Auto,11.94,81.0,0,12,0,Tughlakabad
2024-02-15 19:11:02,Completed,Go Sedan,8.23,992.0,0,19,0,India Gate
2024-08-01 06:16:08,Completed,Premier Sedan,49.5,513.0,0,6,0,Maidan Garhi
2024-05-02 19:16:35,Completed,Premier Sedan,37.37,635.0,0,19,0,Barakhamba Road
2024-08-27 06:04:30,Completed,Uber XL,35.38,242.0,0,6,0,Kashmere Gate
2024-10-20 12:47:05,Completed,Bike,34.81,1114.0,0,12,1,Barakhamba Road
2024-06-25 23:08:22,Completed,Bike,20.92,372.0,0,23,0,Gurgaon Sector 56
2024-02-13 06:11:32,Driver Cancelled,Bike,,,1,6,0,Ghitorni Village
2024-07-10 16:51:38,Completed,Go Mini,23.39,387.0,0,16,0,Ashram
2024-06-10 07:38:34,Completed,Go Sedan,30.82,767.0,0,7,0,Gurgaon Sector 29
2024-07-11 14:42:27,Completed,Auto,21.31,447.0,0,14,0,Shahdara
2024-06-20 07:14:32,Completed,Premier Sedan,20.41,500.0,0,7,0,Sultanpur
2024-11-18 16:38:12,Driver Cancelled,eBike,,,1,16,0,Noida Film City
2024-03-05 12:21:00,Completed,Go Mini,25.94,446.0,0,12,0,Gurgaon Sector 29
2024-01-12 09:19:16,Driver Cancelled,eBike,,,1,9,0,Jor Bagh
2024-05-17 01:08:21,Completed,eBike,39.16,125.0,0,1,0,Huda City Centre
2024-05-13 21:08:35,Completed,Go Sedan,23.79,419.0,0,21,0,Dilshad Garden
2024-01-04 06:58:58,Driver Cancelled,Go Sedan,,,1,6,0,Saket
2024-06-19 22:02:03,Completed,Go Sedan,41.93,477.0,0,22,0,Basai Dhankot
2024-07-01 18:52:02,Driver Cancelled,Go Sedan,,,1,18,0,Basai Dhankot
2024-11-05 17:11:41,Driver Cancelled,Go Sedan,,,1,17,0,Jor Bagh
2024-04-26 21:03:12,Completed,Auto,6.71,352.0,0,21,0,Anand Vihar
2024-02-22 22:48:26,Driver Cancelled,Bike,,,1,22,0,Ashram
2024-12-04 14:09:18,Completed,Go Sedan,15.63,117.0,0,14,0,Munirka
2024-11-10 09:58:14,Driver Cancelled,Go Sedan,,,1,9,1,Vishwavidyalaya
2024-12-12 12:01:07,Completed,Go Sedan,29.8,51.0,0,12,0,Tis Hazari
2024-03-02 22:28:52,Completed,Uber XL,5.59,81.0,0,22,1,Malviya Nagar
2024-07-12 16:39:57,Driver Cancelled,Go Mini,,,1,16,0,Nawada
2024-12-17 19:11:24,Incomplete,Premier Sedan,6.57,635.0,1,19,0,Qutub Minar
2024-08-29 21:01:54,Completed,Bike,4.44,51.0,0,21,0,Munirka
2024-03-25 18:40:11,Completed,Go Sedan,26.93,469.0,0,18,0,Akshardham
2024-06-30 21:34:48,Completed,Bike,28.78,320.0,0,21,1,Udyog Vihar Phase 4
2024-07-18 02:41:57,Completed,Go Mini,12.98,726.0,0,2,0,Raj Nagar Extension
2024-03-14 23:23:23,Incomplete,Auto,19.06,68.0,1,23,0,Ghitorni
2024-09-26 12:23:13,Incomplete,eBike,14.0,136.0,1,12,0,Akshardham
2024-09-15 20:23:02,Completed,Go Sedan,43.06,455.0,0,20,1,Nawada
2024-05-12 10:16:09,Completed,Auto,38.96,995.0,0,10,1,Lajpat Nagar
2024-11-16 19:05:30,Completed,Uber XL,18.87,1179.0,0,19,1,Aya Nagar
2024-07-19 16:57:27,Completed,Bike,47.88,525.0,0,16,0,Lok Kalyan Marg
2024-12-02 20:04:25,Driver Cancelled,Auto,,,1,20,0,Nawada
2024-08-08 14:29:16,Driver Cancelled,Auto,,,1,14,0,Punjabi Bagh
2024-09-15 22:06:40,Completed,Go Sedan,5.7,300.0,0,22,1,Ramesh Nagar
2024-05-30 18:57:34,Completed,Go Sedan,4.62,202.0,0,18,0,Maidan Garhi
2024-12-05 07:56:34,Completed,Premier Sedan,42.26,475.0,0,7,0,Greater Kailash
2024-07-16 19:23:06,Completed,Go Sedan,19.49,833.0,0,19,0,Sarojini Nagar
2024-06-14 16:59:15,Driver Cancelled,Go Sedan,,,1,16,0,Satguru Ram Singh Marg
2024-01-06 20:53:36,Completed,Go Mini,40.36,158.0,0,20,1,Palam Vihar
2024-02-28 03:21:43,Completed,Bike,42.59,155.0,0,3,0,GTB Nagar
2024-04-26 18:49:22,Driver Cancelled,Auto,,,1,18,0,Vatika Chowk
2024-03-31 08:32:26,Completed,Auto,21.68,107.0,0,8,1,Cyber Hub
2024-04-04 16:33:57,Completed,Go Mini,29.9,151.0,0,16,0,Adarsh Nagar
2024-05-07 21:10:50,Completed,Go Mini,42.27,187.0,0,21,0,Golf Course Road
2024-06-15 19:12:37,Completed,Go Mini,49.71,1543.0,0,19,1,IIT Delhi
2024-06-14 20:58:12,Completed,eBike,32.56,432.0,0,20,0,Punjabi Bagh
2024-03-04 21:24:16,Customer Cancelled,Go Sedan,,,1,21,0,Civil Lines Gurgaon
2024-01-23 10:28:09,Incomplete,Go Sedan,14.49,195.0,1,10,0,Udyog Vihar Phase 4
2024-10-28 15:46:27,Completed,Go Mini,31.49,54.0,0,15,0,Ghaziabad
2024-02-06 10:17:43,Completed,Auto,21.28,939.0,0,10,0,Narsinghpur
2024-12-04 07:48:07,Completed,Auto,34.14,829.0,0,7,0,MG Road
2024-12-22 17:53:25,Completed,Auto,20.66,314.0,0,17,1,Panchsheel Park
2024-08-24 21:09:54,Completed,Go Sedan,24.6,1249.0,0,21,1,Badarpur
2024-09-18 08:48:36,Completed,Auto,27.94,437.0,0,8,0,Gurgaon Sector 29
2024-10-22 08:41:41,Completed,Go Mini,44.57,83.0,0,8,0,Dwarka Sector 21
2024-06-16 06:53:10,Completed,Auto,15.43,1444.0,0,6,1,Greater Kailash
2024-12-22 09:03:55,Driver Cancelled,Go Mini,,,1,9,1,Pataudi Chowk
2024-07-02 15:25:18,No Driver Found,Premier Sedan,,,1,15,0,Bahadurgarh
2024-09-07 04:07:03,Completed,Bike,42.88,1368.0,0,4,1,Gwal Pahari
2024-07-05 06:41:29,No Driver Found,Bike,,,1,6,0,Punjabi Bagh
2024-05-03 21:53:28,Completed,Auto,23.31,418.0,0,21,0,Tagore Garden
2024-04-10 19:13:34,Completed,Premier Sedan,31.36,363.0,0,19,0,Samaypur Badli
2024-02-06 09:18:36,Completed,Go Mini,16.68,279.0,0,9,0,AIIMS
2024-04-22 17:13:32,Completed,Go Mini,49.06,332.0,0,17,0,Hero Honda Chowk
2024-09-25 18:58:35,Completed,Auto,28.34,448.0,0,18,0,Delhi Gate
2024-07-08 18:18:13,Customer Cancelled,Bike,,,1,18,0,Rohini West
2024-06-04 15:49:09,Completed,Go Sedan,38.65,64.0,0,15,0,Badarpur
2024-12-10 14:20:31,Completed,Go Sedan,3.05,682.0,0,14,0,Mandi House
2024-07-27 10:59:44,No Driver Found,Go Mini,,,1,10,1,Chanakyapuri
2024-07-13 02:49:21,Completed,Go Mini,41.81,488.0,0,2,1,Mandi House
2024-06-14 11:41:45,Customer Cancelled,Auto,,,1,11,0,Delhi Gate
2024-10-16 21:30:28,Completed,Go Sedan,31.28,953.0,0,21,0,Barakhamba Road
2024-05-05 19:10:02,Completed,Go Sedan,34.5,965.0,0,19,1,Jor Bagh
2024-02-18 16:24:39,Completed,Go Sedan,13.1,405.0,0,16,1,Khan Market
2024-08-14 14:34:57,No Driver Found,Auto,,,1,14,0,Satguru Ram Singh Marg
2024-03-07 10:59:58,Driver Cancelled,Go Mini,,,1,10,0,Meerut
2024-08-29 17:11:13,Completed,Go Sedan,9.93,423.0,0,17,0,Udyog Vihar Phase 4
2024-06-28 23:11:32,Customer Cancelled,Go Sedan,,,1,23,0,RK Puram
2024-12-24 10:03:37,No Driver Found,Auto,,,1,10,0,GTB Nagar
2024-05-25 08:42:50,Completed,Auto,31.93,264.0,0,8,1,Akshardham
2024-02-01 09:13:13,Completed,Go Mini,34.73,249.0,0,9,0,Shivaji Park
2024-03-10 21:06:20,Completed,Auto,31.51,628.0,0,21,1,Jasola
2024-03-03 13:48:25,Incomplete,Uber XL,14.46,110.0,1,13,1,IMT Manesar
2024-10-26 13:44:51,Driver Cancelled,eBike,,,1,13,1,Gurgaon Sector 56
2024-07-11 20:20:54,Completed,Bike,10.27,190.0,0,20,0,Udyog Bhawan
2024-04-04 08:50:10,Completed,Premier Sedan,46.07,264.0,0,8,0,Rajiv Chowk
2024-09-06 16:16:28,Customer Cancelled,Go Sedan,,,1,16,0,Badarpur
2024-12-20 10:45:14,Completed,Bike,45.51,147.0,0,10,0,Panipat
2024-07-04 11:00:26,No Driver Found,Go Mini,,,1,11,0,Noida Film City
2024-09-25 15:55:15,Completed,Auto,34.9,953.0,0,15,0,Vidhan Sabha
2024-10-17 17:46:59,Completed,Go Mini,30.87,654.0,0,17,0,AIIMS
2024-06-01 08:04:36,Completed,Go Sedan,37.07,427.0,0,8,1,Panchsheel Park
2024-12-25 05:04:40,Driver Cancelled,Go Mini,,,1,5,0,Udyog Bhawan
2024-07-04 08:02:57,Completed,Auto,35.38,610.0,0,8,0,Keshav Puram
2024-04-23 11:09:18,Completed,Bike,19.61,648.0,0,11,0,Pragati Maidan
2024-02-11 18:46:31,Completed,Bike,23.82,792.0,0,18,1,Punjabi Bagh
2024-04-28 14:03:27,Completed,Go Mini,39.98,676.0,0,14,1,Keshav Puram
2024-03-22 21:49:01,Completed,Bike,27.16,389.0,0,21,0,Raj Nagar Extension
2024-04-28 07:28:54,Completed,Premier Sedan,48.45,74.0,0,7,1,Jhilmil
2024-05-01 09:30:03,Driver Cancelled,Auto,,,1,9,0,Saket A Block
2024-01-12 18:48:40,Driver Cancelled,Go Sedan,,,1,18,0,Central Secretariat
2024-05-07 20:05:26,Completed,Auto,25.05,465.0,0,20,0,Noida Sector 18
2024-08-27 09:40:17,Completed,Auto,40.21,932.0,0,9,0,Khan Market
2024-04-03 19:47:28,Completed,Premier Sedan,44.48,191.0,0,19,0,ITO
2024-04-21 12:27:17,Completed,Bike,6.82,770.0,0,12,1,India Gate
2024-09-15 19:41:11,Completed,Go Mini,16.21,514.0,0,19,1,Indraprastha
2024-05-14 14:17:08,Driver Cancelled,Go Mini,,,1,14,0,Jasola
2024-09-18 18:07:44,Completed,Go Sedan,12.9,349.0,0,18,0,Botanical Garden
2024-07-27 21:55:25,Driver Cancelled,Go Mini,,,1,21,1,Narsinghpur
2024-10-07 16:22:15,Completed,eBike,12.22,267.0,0,16,0,Janakpuri
2024-11-19 07:50:54,No Driver Found,eBike,,,1,7,0,Ashok Park Main
2024-06-27 17:13:13,Completed,Go Mini,3.95,325.0,0,17,0,Samaypur Badli
2024-03-16 19:36:59,Completed,Go Sedan,42.87,156.0,0,19,1,Laxmi Nagar
2024-06-16 21:03:43,Completed,Bike,39.84,689.0,0,21,1,Lok Kalyan Marg
2024-04-13 11:19:15,Completed,Auto,4.19,491.0,0,11,1,Munirka
2024-08-09 03:34:51,Completed,Go Sedan,6.18,304.0,0,3,0,Noida Sector 18
2024-11-28 20:44:46,Driver Cancelled,Go Mini,,,1,20,0,Gwal Pahari
2024-08-30 19:00:23,Customer Cancelled,Auto,,,1,19,0,Connaught Place
2024-07-11 20:29:02,Completed,Auto,4.56,697.0,0,20,0,Pitampura
2024-07-25 19:28:35,Completed,Auto,47.56,679.0,0,19,0,Udyog Bhawan
2024-08-17 18:35:05,Incomplete,Premier Sedan,14.65,713.0,1,18,1,Jahangirpuri
2024-02-18 18:57:12,Driver Cancelled,Go Sedan,,,1,18,1,Tughlakabad
2024-06-16 10:12:54,Completed,Go Mini,32.15,683.0,0,10,1,Anand Vihar
2024-07-08 21:04:51,Completed,Go Sedan,23.5,91.0,0,21,0,Vatika Chowk
2024-02-26 14:46:21,Incomplete,eBike,16.61,396.0,1,14,0,Central Secretariat
2024-02-28 16:43:09,Completed,Go Sedan,18.14,769.0,0,16,0,Govindpuri
2024-12-27 01:14:14,Completed,Bike,31.1,323.0,0,1,0,Welcome
2024-12-06 16:09:31,Incomplete,Premier Sedan,3.74,627.0,1,16,0,Preet Vihar
2024-05-13 18:47:50,Completed,Auto,13.99,134.0,0,18,0,Noida Extension
2024-05-09 17:14:18,Completed,Go Mini,5.04,940.0,0,17,0,Kanhaiya Nagar
2024-11-19 21:04:42,No Driver Found,eBike,,,1,21,0,Seelampur
2024-04-04 14:02:47,Completed,Auto,36.18,266.0,0,14,0,Anand Vihar
2024-11-19 20:15:39,Completed,Auto,13.21,484.0,0,20,0,Mehrauli
2024-06-04 20:15:11,Completed,Go Sedan,6.06,250.0,0,20,0,Indirapuram
2024-08-13 13:22:10,Driver Cancelled,Auto,,,1,13,0,IGI Airport
2024-12-25 11:03:11,Incomplete,Bike,14.61,361.0,1,11,0,Saket
2024-06-30 11:57:59,Completed,Go Mini,48.08,224.0,0,11,1,Basai Dhankot
2024-01-20 21:15:24,Customer Cancelled,Go Mini,,,1,21,1,Huda City Centre
2024-04-10 11:34:22,Completed,Premier Sedan,39.51,669.0,0,11,0,Vatika Chowk
2024-07-28 09:55:49,Customer Cancelled,Go Sedan,,,1,9,1,Gurgaon Sector 29
2024-08-04 08:25:20,Driver Cancelled,Auto,,,1,8,1,Kalkaji
2024-08-05 15:40:40,Completed,Go Mini,7.83,207.0,0,15,0,GTB Nagar
2024-08-16 12:45:03,Completed,Go Sedan,12.34,227.0,0,12,0,Rajiv Nagar
2024-03-21 01:29:50,Completed,Premier Sedan,36.7,771.0,0,1,0,Panchsheel Park
